Country,Company Name,Company ID 1,Company ID 2,Company ID 3,Company ID 4,Country,ZIP Code
ES,TSK ELECTRONICA Y ELECTRICIDAD SA,A48035901,,,ESA48035901,GIJÓN,33203
ES,TUDELA SOLAR SL,B31825854,,,ESB31825854,TUDELA,31500
ES,"UNITEC EUROPA, S.A. ",A31710783,,,ESA31710783,PAMPLONA,31008
ES,"FLUITECNIK, S.A. ",A31276603,,,ESA31276603,ORCOYEN,31160
ES,FOTOSOLAR ENERGÍA RENOVABLE,B83643726,,,ESB83643726,Madrid,28006
ES,FOTOVOLCENTRO SL,B45605128,,,ESB45605128,TORRIJOS,45500
ES,"FOURTEC SOLUTIONS ENGINEERING&TECHN SUPPORT, S.L.",B02398097,,,,ALBACETE,2002
ES,"Fuerzas Eléctricas de Zaragoza, S.L ",B53837977,,,ESB53837977,50001 ZARAGOZA,50001
ES,FV3 CASTILLA LA MANCHA SL,B02394773,,,,CASAS-IBAÑEZ,2200
ES,"GABYL, S.A. ",A31069321,,,ESA31069321,PAMPLONA,31013
ES,"YAO SOLAR, S.L. ",B84149392,,,,SAN AGUSTIN DE GUADALIX,28750
ES,"YOHKON ENERGÍA, S.A. ",A47588132,,,,VALLADOLID,47012
ES,"YULECTRIC, S.L. ",B81951600,,,,SAN MARTIN DE VALDEIGLESIAS,28680
ES,"Z.INESOL, S.L. ",B49140767,,,,ZAMORA,49027
ES,"ZAMBAR ECI, S.L. ",B84183938,,,,28020 MADRID,28020
ES,"Zamorana de Sistemas Tecnicos, S.L. ",B49197957,,,,ZAMORA,49001
ES,ZURCAL,B46285086,,,,VALENCIA,46008
ES,"Teican Medioambiental, S.L. ",B39478052,,,ESB39478052,BOO DE PIELAGOS,39478
ES,"ENERGIA SOLAR RIVERO SUDÓN, S.L. ",B06209613,,,ESB06209613,ALBURQUERQUE,6510
ES,"ENERGÍAS ALTERNATIVAS SOLARIG, S.A. ",A42179465,,,,GOLMAYO,42190
ES,ENERGIAS RENOVABLES DEL MAESTRAT S.,B12716064,,,,VINAROZ,12500
ES,"ENERGÍAS RENOVABLES DEL SUR, S.L. ",B91532382,,,,41005 SEVILLA,41005
ES,ENERGIES NATURALS C.B.,E07628480,,,ESE07628480,MANACOR,7500
ES,SUR DE RENOVABLES SL,B91531111,,,ESB91531111,SEVILLA,41092
ES,"T.T.R.BOSTAK TELECOMUNICACIONES, S. ",B31733587,,,ESB31733587,BURLADA,31600
ES,"TALLERES PUIGCERCOS, S.L. ",B07072929,,,,PALMA DE MALLORCA,7009
ES,"TAU Ingeniería Solar, S.L. ",B81965642,,,ESB81965642,MADRID,28043
ES,"TECNICAS ENERGÉTICAS YUSTE, S.L. ",B85439198,,,ESB85439198,San MARTIN VALDEIGLESIAS,28680
ES,"TECNISOL MANCHA, S.L. ",B13331053,,,,CIUDAD REAL,13005
ES,"TECNO PIPE, S.L. ",B15905599,,,,15707 SANTIAGO,15707
ES,ESPIÑEIRA CENTRO JARDINERIA,B15847460,,,ESB15847460,BOIRO,15930
ES,"EURENER, S.L. ",B53234225,,,ESB53234225,Bigastro,3380
ES,"EVOSOL INGENIERIA E INSTALACIONES, ",B47610407,,,,VALLADOLID,47014
ES,EXPLOTACION AGRÍCOLA VALDELILLA S.L,B47390018,,,,VALLADOLID,47002
ES,"ENERPAL ESPAÑA, S.L. ",B34205278,,,,PALENCIA,34004
ES,"ENERSUN ENERGIA SOLAR, S.L. ",B82234162,,,ESB82234162,28035 MADRID,28035
ES,ENERTIS SOLAR SL,B84894203,,,ESB84894203,SAN SEBASTIAN DE LOS REYES,28703
PT,ENFORCE-Engenharia da Energia SA,505658542,,,PT505658542,027 Covilha,6200
ES,"ENGEL SOLAR, S.L. ",B62198908,,,,BARBERA DEL VALLES,8210
